Database,MDBDir,Path,TableName,FileType,PartitionKey,PartitionValue,SourceURI,DownloadPolicy,ExpectedSHA256,ArchiveType,ArchiveMember,Delimiter,ReaderOptions,SourceProvider,SourceRelease,SourceLicense,CitationURL,SourceNotes,AccessMode,AccessRequirements,ApproxRows,ApproxColumns,DatasetName,SourceComponent,Group,Large
NHANES,remote/nhanes/demographics,DEMO.xpt,DEMO,xpt,survey_cycle,1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.xpt,if_missing,,,,,,CDC/NCHS,1999-2000,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics,Demographic Variables & Sample Weights. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Demographics,nhanes,FALSE
NHANES,remote/nhanes/demographics,DEMO_B.xpt,DEMO,xpt,survey_cycle,2001-2002,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DEMO_B.xpt,if_missing,,,,,,CDC/NCHS,2001-2002,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics,Demographic Variables & Sample Weights. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Demographics,nhanes,FALSE
NHANES,remote/nhanes/demographics,DEMO_C.xpt,DEMO,xpt,survey_cycle,2003-2004,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DEMO_C.xpt,if_missing,,,,,,CDC/NCHS,2003-2004,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics,Demographic Variables & Sample Weights. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Demographics,nhanes,FALSE
NHANES,remote/nhanes/demographics,DEMO_D.xpt,DEMO,xpt,survey_cycle,2005-2006,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DEMO_D.xpt,if_missing,,,,,,CDC/NCHS,2005-2006,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics,Demographic Variables & Sample Weights. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Demographics,nhanes,FALSE
NHANES,remote/nhanes/demographics,DEMO_E.xpt,DEMO,xpt,survey_cycle,2007-2008,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DEMO_E.xpt,if_missing,,,,,,CDC/NCHS,2007-2008,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics,Demographic Variables & Sample Weights. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Demographics,nhanes,FALSE
NHANES,remote/nhanes/demographics,DEMO_F.xpt,DEMO,xpt,survey_cycle,2009-2010,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DEMO_F.xpt,if_missing,,,,,,CDC/NCHS,2009-2010,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics,Demographic Variables & Sample Weights. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Demographics,nhanes,FALSE
NHANES,remote/nhanes/demographics,DEMO_G.xpt,DEMO,xpt,survey_cycle,2011-2012,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DEMO_G.xpt,if_missing,,,,,,CDC/NCHS,2011-2012,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics,Demographic Variables & Sample Weights. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Demographics,nhanes,FALSE
NHANES,remote/nhanes/demographics,DEMO_H.xpt,DEMO,xpt,survey_cycle,2013-2014,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.xpt,if_missing,,,,,,CDC/NCHS,2013-2014,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics,Demographic Variables and Sample Weights. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Demographics,nhanes,FALSE
NHANES,remote/nhanes/demographics,DEMO_I.xpt,DEMO,xpt,survey_cycle,2015-2016,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DEMO_I.xpt,if_missing,,,,,,CDC/NCHS,2015-2016,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics,Demographic Variables and Sample Weights. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Demographics,nhanes,FALSE
NHANES,remote/nhanes/demographics,DEMO_J.xpt,DEMO,xpt,survey_cycle,2017-2018,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DEMO_J.xpt,if_missing,,,,,,CDC/NCHS,2017-2018,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics,Demographic Variables and Sample Weights. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Demographics,nhanes,FALSE
